major_field,time_to_degree,year,md_years
Physical sciences and earth sciences,Since starting doctoral program,2015,5.7
Mathematics and computer sciences,Since bachelor's,2015,7.8
Mathematics and computer sciences,Since starting graduate school,2015,6.7
Mathematics and computer sciences,Since starting doctoral program,2015,5.7
Psychology and social sciences,Since bachelor's,2015,9.3
Psychology and social sciences,Since starting graduate school,2015,7.7
Psychology and social sciences,Since starting doctoral program,2015,6
Engineering,Since bachelor's,2015,7.3
Engineering,Since starting graduate school,2015,6.7
Engineering,Since starting doctoral program,2015,5.2
Education,Since bachelor's,2015,14.8
Education,Since starting graduate school,2015,11.7
Education,Since starting doctoral program,2015,6
Humanities and arts,Since bachelor's,2015,11
Humanities and arts,Since starting graduate school,2015,9.2
Humanities and arts,Since starting doctoral program,2015,6.9
Other,Since bachelor's,2015,11.2
Other,Since starting graduate school,2015,8.9
Other,Since starting doctoral program,2015,5.3
Other,Since starting doctoral program,2015,NA
Other,Since starting doctoral program,2015,NA
Other,Since starting doctoral program,2015,NA
Other,Since starting doctoral program,2015,NA
Other,Since starting doctoral program,2015,NA
